7042,341646,2
17675,41566,6
38821,343227,6
38821,646796,4
55308,111756,7
73077,323129,9
75697,233950,5
75697,558791,2
75697,773285,1
75697,865353,3
6013,394620,3
13825,292541,6
44659,47343,6
44659,629364,5
70191,316674,3
70191,505452,3
70449,139408,3
7843,744928,9
10670,506395,8
45779,129129,1
45779,150877,7
45779,698996,4
6586,684590,5
39782,774793,7
34713,30186,10
34713,464216,10
34713,790539,8
56865,139291,6
56865,601440,2
56865,658852,7
56865,783141,8
74218,674708,2
113752,135363,7
113752,504140,4
113752,862216,8
81133,78545,6
81133,415474,2
81133,802428,7
157819,450610,10
85446,57791,4
85446,405029,6
85446,530399,7
88912,871063,8
80814,336420,6
143877,332608,7
100156,573010,2
100156,683129,8
100156,716704,4
102355,514842,3
102355,644835,10
122762,647469,7
122762,648202,4
126718,101145,6
126718,399245,6
126718,879906,8
149181,672142,7
149181,695990,7
149181,871725,2
5105,144799,2
5105,198633,10
5105,463080,10
5105,708016,8
85708,247830,7
85708,889526,2
88081,839013,4
127790,5314,1
128855,47157,6
130754,625223,1
200862,94648,8
200862,463493,2
206703,97227,1
206703,614831,7
206703,688449,10
223250,190372,7
223250,320013,10
214919,45281,1
214919,439846,1
214919,663882,4
219432,410215,10
226903,746581,4
226903,759375,1
238953,804924,5
189712,686434,2
190804,152083,6
195751,268781,10
225036,188344,2
227633,902098,2
112774,574945,10
112774,785009,4
140322,107727,8
140322,198735,8
141595,11469,1
141595,679138,5
145497,783117,5
149989,354669,10
149989,674411,6
257030,372164,8
291119,8856,5
291119,113706,3
291119,133961,4
291119,278118,10
291119,337355,6
291119,659151,7
291119,692869,8
291119,734766,6
291119,791543,2
307045,426302,9
256482,721227,6
250127,627546,7
297982,207516,5
302141,819223,2
251107,552600,6
251107,569212,8
269338,247450,4
269338,597044,1
275358,579985,9
296504,236270,10
296504,312860,8
304642,247389,1
304642,742003,10
164322,371867,5
164322,707150,3
167081,83884,7
202255,346195,10
202255,879342,8
204427,318726,5
204427,849537,6
205394,197233,10
205394,836582,1
206043,674290,7
352147,128910,6
352147,233513,2
352147,471175,6
361219,92263,3
337885,454716,4
373894,81195,3
376673,670597,5
376673,829953,6
380586,168051,2
333006,679138,4
366765,915849,3
388511,50273,2
388511,590532,2
388511,751504,8
363706,151625,1
363706,457572,4
363706,492329,8
363706,525067,8
363706,825589,6
371475,62577,2
393930,42535,7
393930,374900,6
281117,309770,2
289182,170562,10
289182,384550,4
289182,642459,9
289182,797429,4
183557,64645,8
183557,478873,2
